,GroupeEtMention,Titre,Date,Nom du contact,orga du contact,Url,Children,Parent,Fcats,BroAndSisters
129, Zone atelier bassin du Rhône,Mesures des thermomètres de la haute vallée de l'Ain (2013-2014),2016-09-19T15:04:24,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],['http://www.graie.org/zabr/'],[],[],[],[]
130, Zone atelier bassin du Rhône,Données écologiques et floristiques des bancs de galets du Rhône et de trois affluents (2017),2023-08-17T14:21:11.83Z,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://ohm-vr.org', 'https://www.sciencedirect.com/science/article/pii/S0048969718347892']",[],[],[],[]
131, Zone atelier Armorique,"Image SPOT (Rennes / Pleine-Fougères, 06/07/2017) - Zone Atelier Armorique ZAAr",2018-07-03T16:33:49,['Thomas Houet'],['LETG-RENNES UMR 6554 CNRS Université de Rennes 2'],['https://bretagne.kalideos.fr/drupal/fr/mapshup_page'],[],[],[],[]
132, Zone Atelier Seine,,2020-02-03T14:08:42,['Laurence LESTEL'],['Sorbonne Université - UMR 7619 Metis'],['https://georchestra.archiseine.metis.upmc.fr/geoserver/wms'],[],[],[],[]
133, Zone atelier bassin du Rhône,Réseau complémentaire de bassin Rhône-Méditerranée-Corse - volet hydrobiologie CSP,2016-11-23T11:45:26,[],['Délégation Régionale du Conseil Supérieur de la Pêche (C.S.P.) de Lyon et de Montpellier'],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
134, Zone atelier bassin du Rhône,Autosurveillance des stations d'épuration sur le département de la Savoie,2012-07-31T10:18:06,[],['Conseil Général de Savoie'],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
135, Zone atelier bassin du Rhône,Ecotoxicité et analyses physico-chimiques des eaux du déversoir d'orage de Grézieu. Année 2009,2016-11-24T18:36:34,['Yves PERRODIN'],['UMR 5023 - LEHNA'],['http://www.graie.org/zabr/zabrdoc/AccordCadre-fiches/2009/Rapport_A13_2009.pdf'],[],[],[],[]
136, Zone atelier bassin du Rhône,Suivi de la qualité des eaux de l'Ardières à la station de Châtillon,2019-06-28T17:02:37,['Véronique GOUY'],['IRSTEA'],['https://saam.irstea.fr/'],[],[],[],[]
137, Zone atelier bassin du Rhône,INFORHONE donnees du jour,2012-09-07T13:53:30,[],[],['http://www.inforhone.fr/inforhone/fr/commun/index.htm'],[],[],[],[]
138, Zone atelier Armorique,"Habitats CORINE Biotopes (baie du Mont Saint-Michel, Marais du Mesnil, 2008) - Zone Atelier Armorique ZAAr",2018-06-14T16:27:44,['Cendrine Mony'],['ECOBIO UMR 6553 CNRS Université de Rennes 1'],['https://www.osuris.fr/geoserver/ecobio/wmsservice=WMS&version=1.1.0&request=GetMap&layers=ecobio:Cartographie%20des%20habitats%20(corine%203.4)%20sur%20le%20marais%20du%20Mesnil&styles=&bbox=364935.32895580896835214.873341406367166.35919466076837171.385067296&width=512&height=449&srs=EPSG:2154&format=application/openlayers'],[],[],[],[]
139, Zone Atelier Seine,,2020-01-28T09:28:19,['Laurence LESTEL'],['Sorbonne Université - Metis'],['https://georchestra.archiseine.metis.upmc.fr/geoserver/wms'],[],[],[],[]
140, Zone atelier bassin du Rhône,Segment amont/aval du Rhône,2016-10-27T11:25:52,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],['http://www.graie.org/osr/'],[],[],[],[]
141, Zone atelier bassin du Rhône,Estimation de l'impact sur l'habitat aquatique de la gestion des cours d'eau,2012-09-04T17:28:02,"[""Lamouroux NicolasLaboratoire d'hydroécologie quantitative""]","[""Laboratoire d'hydroécologie quantitativeLaboratoire d'hydroécologie quantitative""]",['http://www.irstea.fr/linstitut/nos-centres/lyon'],[],[],[],[]
142, Zone atelier arc jurassien,ZERRAC: grassland small mammal surveys based on activity indices,2023-03-07,"['Couval, Geoffroy', 'Giraudoux, Patrick']",['Laboratoire Chrono-environnement (UMR 6249)'],[],[],[],[],[]
143, Zone atelier bassin du Rhône,Etude de l'effet de la pollution d'origine viticole sur les communautés microbiennes de cours d'eau récepteur (Morcille et Ardières),2019-07-15T15:24:43,['Marina Coquery'],['Cemagref'],['https://saam.irstea.fr/'],[],[],[],[]
144, Zone Atelier Seine,,2020-01-29T08:29:50,['Laurence LESTEL'],['Sorbonne Université - Metis'],['https://georchestra.archiseine.metis.upmc.fr/geoserver/wms'],[],[],[],[]
145, Zone atelier bassin du Rhône,Corpus d'entretiens (transcriptions) sur le projet de barrage de Loyettes (2015-2016),2022-01-04T13:47:08Z,['Yves-François Le Lay'],['UMR 5600 EVS - ENS de Lyon'],"['http://ohm-vr.org/ ', 'https://tel.archives-ouvertes.fr/tel-01998701', 'https://journals.openedition.org/developpementdurable/11882']",[],[],[],[]
146, Zone atelier Armorique,"Image Thermique drone (La Timbertière,2020-05-07) - Zone Atelier Armorique ZAAr",2022-09-01T14:47:46,['Thomas Houet'],['LETG UMR 6554 CNRS'],"['https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_07_thermique&format=image/geotiff']",[],"['https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_25_dsm&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_25_rgb&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/wms ', 'https://portail.indigeo.fr/geoserver/D2T/wcs ', 'https://portail.indigeo.fr/geoserver/D2T/wcsservice=WCS&version=2.0.1&request=GetCoverage&CoverageId=timbertiere_2020_07_07_dsm&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/wms ', 'https://portail.indigeo.fr/geoserver/D2T/wcs ', 'https://portail.indigeo.fr/geoserver/D2T/wcsservice=WCS&version=2.0.1&request=GetCoverage&CoverageId=timbertiere_2020_05_07_rgb&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/wms ', 'https://portail.indigeo.fr/geoserver/D2T/wcs ', 'https://portail.indigeo.fr/geoserver/D2T/wcsservice=WCS&version=2.0.1&request=GetCoverage&CoverageId=timbertiere_2020_07_07_rgb&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_25_thermique2&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_25_thermique1&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_05_07_dsm&format=image/geotiff ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WMS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS ', 'https://portail.indigeo.fr/geoserver/D2T/owsservice=WCS&request=GetCoverage&version=2.0.1&CoverageId=timbertiere_2020_07_07_thermique&format=image/geotiff']",[],['https://doi.org/10.35110/57833b75-9ed7-4e03-8673-4c48ea7d2159']
147, Zone atelier Pyrénées Garonne,Diversité des pratiques agricoles et des insectes auxiliaires (coccinelles) en Ille et Vilaine sud,2017-10-26T15:18:44Z,['Stéphanie AVIRON'],['INRA'],['http://'],[],[],[],[]
148, Zone atelier Armorique,"Relevés Carabes - Araignées - Staphylins (Sud Ille-et-Vilaine, 2017-2018) - Zone Atelier Armorique ZAAr",2019-07-25T08:51:41,"['Cécile LE LANN', 'Romain GEORGES']",['ECOBIO UMR 6553 CNRS Université de Rennes 1ECOBIO UMR 6553 CNRS Université de Rennes 1'],['https://www.osuris.fr/geoserver/zaar/wms'],[],[],[],[]
149, Zone atelier Armorique,"Relevés de staphylins en céréales (Pleine-Fougères, 2014) - Zone Atelier Armorique ZAAr",2021-03-19T10:49:22,"['Colette Bertrand', 'Jacques Baudry', 'Audrey Alignier']",['BAGAP UMR 0980 INRAE Agrocampus Ouest ESABAGAP UMR 0980 INRAE Agrocampus Ouest ESABAGAP UMR 0980 INRAE Agrocampus Ouest ESAZone Atelier Armorique (ZAAr)'],['https://www.osuris.fr/geoserver/ecobio/wms'],[],[],[],[]
150, Zone atelier bassin du Rhône,Levé LiDAR sur le Vieux Rhône de Péage-de-Roussillon (2010),2016-10-27T11:25:48,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],['http://www.graie.org/osr/'],[],[],[],[]
151, Zone atelier Armorique,Occupation du sol des zones humides (2010) - Zone Atelier Armorique ZAAr,2018-06-13T17:02:44,['Jean Nabucet'],['LETG-RENNES UMR 6554 CNRS Université de Rennes 2'],['http://letg.univ-nantes.fr/fr/laboratoire/4/presentation'],[],[],"['http://localhost:8080/geosource/srv/en/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=98a1c9a9-f13b-48f5-bd3c-326a37e6aac8']",[]
152, Zone atelier Armorique,"Habitats CORINE Biotopes (baie du Mont Saint-Michel, Marais de Sougéal privé, 2008) - Zone Atelier Armorique ZAAr",2018-06-14T16:26:14,['Cendrine Mony'],['ECOBIO UMR 6553 CNRS Université de Rennes 1'],['https://www.osuris.fr/geoserver/ecobio/wmsservice=WMS&version=1.1.0&request=GetMap&layers=ecobio:Cartographie%20des%20habitats%20(corine%203.4)%20sur%20le%20marais%20de%20Sougeal%20prive&styles=&bbox=366313.02023702236829631.0628597345368751.370911665146835050.250774419&width=230&height=512&srs=EPSG:2154&format=application/openlayers'],[],[],[],[]
153, Zone atelier environnementale urbaine,CARTE : Ile du Rohrschollen en 1828,2018-11-16T15:17:42,['ESCHBACH David'],"['Laboratoire Image Ville Environnement - UMR 7362, CNRS-UNISTRAZone Atelier Environnementale UrbaineLaboratoire Image Ville Environnement - UMR 7362, CNRS-UNISTRA']","['https://www.datagrandest.fr/geonetwork/srv/fre/catalog.search#/search_uuid=FR-130005457-201808290955-2014_OCS_Limites_Etude_LIVE_Rohrschollen_L1%20or%20FR-130005457-201808290955-1828_OCS_LIVE_Rohrschollen_L1%20or%20FR-130005457-201808290955-1828_ScanHisto_LIVE_Rohrschollen_L1&from=1&to=20', 'https://www.datagrandest.fr/geonetwork/srv/fre/catalog.search#/metadata/FR-130005457-201808290955-2017_Evolution%20diachronique_LIVE_Rohrschollen_L1']",[],[],[],[]
154, Zone Atelier Seine,,2020-02-05T12:45:21,['Laurence LESTEL'],['Sorbonne Université - UMR 7619 Metis'],['http://archiseine.sisyphe.jussieu.fr/geoserver/wms'],[],[],[],[]
155, Zone atelier Brest Iroise,"Trait de côte - Sillon sud d'Arun, Rosnoën (Finistère) 1966-2006",2019-03-06T11:03:27Z,['Pierre STEPHAN'],['UMR6554 LETG CNRS'],"['https://tel.archives-ouvertes.fr/file/index/docid/355047/filename/THESE_STEPHAN.pdf', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wfs']",[],[],[],[]
156, Zone atelier Alpes,Cartographie des territoires de présence du Gypaète barbu en AURA,2021-03-31T12:49:14,"['Etienne Marlé', 'Administrateur de Données']","[""Asters Cen 74Direction Régionale de l’Environnement de l’Aménagement et du Logement d'Auvergne-Rhône-Alpes (DREAL Auvergne-Rhône-Alpes)""]",[],[],[],"['https://www.datara.gouv.fr/geonetwork/srv/fre/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=c4bc6650-e9e7-4bb4-9a72-78f37e74dbf7 ', 'https://www.datara.gouv.fr/geonetwork/srv/fre/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=56558a25-647a-419d-97fc-b4a2571fc6dd']",[]
157, Zone atelier bassin du Rhône,base de données ADES,2012-08-09T16:10:38,[],[],['http://ades.rnde.tm.fr'],[],[],[],[]
158, Zone atelier Alpes,,2018-06-26T11:50:15,[],[],"['https://bdoh.irstea.fr/OBSERVATOIRE-DES-SEDIMENTS-DU-RHONE/', 'https://doi.org/10.17180/obs.osr ', 'http://www.graie.org/osr/']",[],[],[],[]
159, Zone atelier Brest Iroise,MNT du Sillon des Anglais en janvier 2007,2019-02-07T16:52:06Z,"['Pierre, Stéphan']",['UMR6554 LETG CNRS'],"['https://cat.indores.fr/geonetwork/srv/api/records/c32a02ea-c2bc-41ef-b174-fa9f420f4868/attachments/Anglais_JANV_07_total_blanked.tif', 'https://cat.indores.fr/geonetwork/srv/api/records/c32a02ea-c2bc-41ef-b174-fa9f420f4868/attachments/SillonAnglais_TOTAL.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/c32a02ea-c2bc-41ef-b174-fa9f420f4868/attachments/LR_JANV_07_TOTAL.txt', 'https://cat.indores.fr/geonetwork/srv/api/records/c32a02ea-c2bc-41ef-b174-fa9f420f4868/attachments/MNT_ANGLAIS_2007_01_L2E.zip', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wcs']",[],[],[],[]
160, Zone Atelier Seine,,2020-02-05T14:06:18,['Laurence LESTEL'],['Sorbonne Université - UMR 7619 Metis'],['https://georchestra.archiseine.metis.upmc.fr/geoserver/wms'],[],[],[],[]
161, Zone atelier bassin du Rhône,Réseau de mesures nivologiques,2012-08-07T14:10:12,[],['Météo-France'],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
162, Zone atelier bassin du Rhône,Réseau d'observation des milieux - ROM -,2012-08-07T14:03:41,[],['Délégation Régionale du Conseil Supérieur de la Pêche (C.S.P.) de Rennes Non précisé'],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
163, Zone atelier bassin du Rhône,Base de Données des Observatoires en Hydrologie (BDOH) - OSR,2016-11-24T09:29:57,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['https://bdoh.irstea.fr/OBSERVATOIRE-DES-SEDIMENTS-DU-RHONE/', 'http://www.graie.org/osr/IMG/pdf/OSR3_Livrables_1_2_et_3_version_finale.pdf', 'http://www.graie.org/osr/IMG/pdf/A6_livrable_recommandations_OSR2_vf.pdf']",[],[],[],[]
164, Zone atelier Armorique,"Série temporelle d’image multispectrale drone (Marais de Sougéal,mise à jour continue) - Zone Atelier Armorique ZAAr",2021-06-25T16:14:54,['Thomas Houet'],['LETG UMR 6554 CNRS'],"['https://doi.org/10.35110/a2fd0d4b-c41d-4315-85e1-35188b9a587b', 'https://doi.org/10.35110/a2fd0d4b-c41d-4315-85e1-35188b9a587b', 'https://doi.org/10.1016/j.rse.2020.111780', 'https://doi.org/10.3390/rs13020296 ', 'https://doi.org/10.3390/rs13091853']",[],[],[],[]
165, Zone atelier Brest Iroise,Artificialisation du trait de côte sénan en 1952,2021-09-30T12:42:27Z,['Iwan Le Berre'],['UMR6554 LETG CNRS'],"['https://cat.indores.fr/geonetwork/srv/api/records/c807b4c9-7680-4882-9eed-bda2ea3dc7c2/attachments/Ouvrages1952.zip', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wfs']",[],[],[],[]
166, Zone atelier arc jurassien,Microma 1979-2000,2023-01-13,"['Delattre, Pierre', 'Damange, Jean-Pierre', 'Quéré, Jean-PierreGiraudoux, Patrick']",['Laboratoire Chrono-environnement (UMR 6249)'],"['https://www.researchgate.net/publication/233648060', 'https://www.researchgate.net/publication/256078938', 'https://www.researchgate.net/publication/292376041', 'https://www.researchgate.net/publication/8904844 Collection: Microma']",[],[],[],[]
167, Zone atelier arc jurassien,"Pollen analysis - Clairvaux-les-lacs (F-39), La Motte aux Magnins",2017-01-13,"['Richard, Hervé']",['Laboratoire Chrono-environnement (UMR 6249)'],"['http://www.academia.edu/11550888/LAMBERT_G._PETREQUIN_P._et_RICHARD_H._1983.-_P%C3%A9riodicit%C3%A9_de_lhabitat_lacustre_n%C3%A9olithique_et_rythmes_agricoles_LAnthropologie_Paris_87_3_393-411', 'http://www.persee.fr/doc/hism_0982-1783_1994_num_9_3_1444', 'http://www.sudoc.fr/041165667 Collection: PollenChrono']",[],[],[],[]
168, Zone atelier arc jurassien,"Echinococcus multilocularis in red fox in Franche-Comte, France",2016-02-09,"['Raoul, Francis']",['Laboratoire Chrono-environnement (UMR 6249)'],[],[],[],[],[]
169, Zone atelier Armorique,"Image satellite Kompsat-2 brute (Pleine-Fougères, 28/09/2008) - Zone Atelier Armorique ZAAr",2018-06-14T15:49:41,['Jean Nabucet'],['LETG-RENNES UMR 6554 CNRS Université de Rennes 2'],['http://letg.univ-nantes.fr/fr/laboratoire/4/membre/190'],[],[],[],[]
170, Zone atelier Armorique,"Occupation du sol (tache urbaine de Rennes, 2011) - ZAAr",2019-07-02T23:43:17,['nabucet jean'],['UMR6554 LETG CNRS'],['http://v-osuris.costel.fx-etu.uhb.fr/geonetwork/srv/en/resources.getid=2094&fname=&access=private'],[],[],[],[]
171, Zone atelier bassin du Rhône,Recensement de la conchyliculture,2012-08-02T11:21:36,[],"[""Ministère de l'agriculture, de l'agro-alimentaire et de la forêt""]",['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
172, Zone atelier Armorique,"Mosaïque de photographies aériennes (Pleine-Fougères, 1952) - Zone Atelier Armorique ZAAr",2018-06-14T15:35:00,['Jean Nabucet'],['LETG-RENNES UMR 6554 CNRS Université de Rennes 2'],[],[],[],[],[]
173, Zone atelier bassin du Rhône,Suivi de la qualité des sédiments de l'étang de Berre,2012-08-09T13:58:17,[],"[""GIP de Réhabilitation de l'Etang de Berre""]",['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
174, Zone atelier bassin du Rhône,Corpus d'entretiens (audio) sur l'appropriation patrimoniale de la rivière d'Ain par les jeunes (2013-2014),2016-11-07T10:36:08,['LE LAY Yves-François'],['ENS de Lyon - UMR 5600 EVS'],"['http://www.graie.org/zabr/', 'http://www.graie.org/zabr/zabrdoc/actualites/Ain_actes_avril14.pdf']",[],[],[],[]
175, Zone atelier arc jurassien,"Pollen analysis - Fontenu (F-39), Lac de Chalain profond (near Station 21)",2017-01-25,"['Richard, Hervé']",['Laboratoire Chrono-environnement (UMR 6249)'],[],[],[],[],[]
176, Zone atelier arc jurassien,"Pollen analysis - Fontenu (F-39), Lac de Chalain, îlot David, A 33/34",2017-01-25,"['Chambaud, Rémi', 'Ruffaldi, Pascale', 'Bourgeois, Eliane']",['Laboratoire Chrono-environnement (UMR 6249)'],['https://developpementdurable.revues.org/1275 Collection: PollenChrono'],[],[],[],[]
177, Zone atelier arc jurassien,"Pollen analysis - Fontenu (F-39), Lac de Chalain, station 3B",2017-01-25,"['Richard, Hervé']",['Laboratoire Chrono-environnement (UMR 6249)'],"['https://developpementdurable.revues.org/1275', 'http://www.editions-msh.fr/livre/GCOI=27351100615680Collection: PollenChrono']",[],[],[],[]
178, Zone atelier arc jurassien,"Pollen analysis - Bief-du-Fourg (F-25), L'Etang",2016-12-29,"['Richard, Hervé']",['Laboratoire Chrono-environnement (UMR 6249)'],[],[],[],[],[]
179, Zone atelier arc jurassien,"Pollen analysis - Fontenu (F-39), Lac de Chalain, îlot David, 30 F/G",2017-01-25,"['Bourgeois, Eliane', 'Richard, Hervé', 'Ruffaldi, Pascale', 'Chambaud, Rémi']",['Laboratoire Chrono-environnement (UMR 6249)'],"['https://developpementdurable.revues.org/1275', 'http://www.editions-msh.fr/livre/GCOI=27351100615680Collection: PollenChrono']",[],[],[],[]
180, Zone atelier arc jurassien,"Pollen analysis - Fontenu (F-39), Lac de Chalain, station 3 (7,50 m)",2017-01-25,"['Richard, Hervé']",['Laboratoire Chrono-environnement (UMR 6249)'],"['http://cat.inist.fr/aModele=afficheN&cpsidt=3083150', 'http://frantiq.mom.fr/fr/opac/537299/showsearchResultNb=11', 'http://pufc.univ-fcomte.fr/fiche_ouvrage.phpisbn=978-2-84867-079-9&id_titre=2063284252', 'https://developpementdurable.revues.org/1275', 'https://etudesrurales.revues.org/6', 'http://www.editions-msh.fr/livre/GCOI=27351100615680', 'http://www.lcdpu.fr/livre/GCOI=27000100615680', 'http://www.persee.fr/doc/quate_1142-2904_1997_num_8_1_1558', 'http://www.worldcat.org/title/palynosciences/oclc/716421760referer=di&ht=editionCollection: PollenChrono']",[],[],[],[]
181, Zone atelier arc jurassien,"Pollen analysis - Authume (F-39), Etang Dauffin (Authume I)",2016-12-29,"['Richard, Hervé']",['Laboratoire Chrono-environnement (UMR 6249)'],[],[],[],[],[]
182, Zone atelier bassin du Rhône,Altitude du toit de galets à Péage-de-Roussillon (2014),2016-11-22T14:54:18,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://www.graie.org/osr/', 'http://www.graie.org/osr/IMG/pdf/rapport_final_osr3_revision210715_drm_vf.pdf']",[],[],[],[]
183, Zone atelier bassin du Rhône,"Caractéristiques géographiques, topographiques et de l'évolution de l'occupation du sol (1945-2010) dans les casiers Girardon des Vieux Rhône",2017-07-03T11:24:16Z,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://ohm-vr.org/ftp/Fiche_de_synthese/APR_2013/5.Raepple_ficheCOS.pdf', 'http://ohm-vr.org/', 'http://onlinelibrary.wiley.com/doi/10.1002/hyp.10361/abstract']",[],[],[],[]
184, Zone atelier bassin du Rhône,Cartographie des périmètres de captage du département de la Drôme,2012-09-03T17:18:40,[],[],['http://www.rdbrmc.com/RESEAUX/presentation/main/index.php'],[],[],[],[]
185, Zone atelier Pyrénées Garonne,Diversité des pratiques agricoles et des insectes auxiliaires (parasitoïdes) en Ille et Vilaine sud,2017-10-26T15:18:46Z,['Stéphanie AVIRON'],['INRA'],['http://'],[],[],[],[]
186, Zone atelier bassin du Rhône,"Profils en travers et MNT bathymétriques associés sur le secteur de Montélimar (1988, 2008)",2016-11-21T13:43:45,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],['http://www.graie.org/osr/'],[],[],[],[]
187, Zone atelier bassin du Rhône,Chenal en eau du Rhône (2009),2016-11-21T15:54:10,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://www.graie.org/osr/ ', 'http://ohm-vr.org/']",[],[],[],[]
188, Zone atelier Brest Iroise,"Carte de répartition de Centaurium marinum, Ouessant (2005)",2019-01-29T16:19:09Z,['Mathias ROUAN'],['UMR6554 LETG CNRS'],"['https://portail.indigeo.fr ', 'https://portail.indigeo.fr/geoserver/wms', 'https://portail.indigeo.fr/geoserver/wfs']",[],[],[],[]
189, Zone atelier Armorique,"Occupation du sol (Pleine-Fougères, 2008) - Zone Atelier Armorique ZAAr",2018-06-13T16:44:56,['nabucet jean'],['LETG-Rennes Costel'],['https://www.osuris.fr/geoserver/zaar/wms'],[],[],"['https://www.osuris.fr/geonetwork/srv/en/cswservice=CSW&request=GetRecordById&version=2.0.2&outputSchema=', 'http://www.isotc211.org/2005/gmd&elementSetName=full&id=870903a7-3b9c-4d1a-9f09-073e092b8875']",[]
190, Zone atelier Armorique,"Occupation du sol (Pleine-Fougères, zone C, 1985) - Zone Atelier Armorique ZAAr",2018-06-14T15:16:36,['Jean Nabucet'],['LETG-RENNES UMR 6554 CNRS Université de Rennes 2'],['https://www.osuris.fr/geoserver/ecobio/wmsservice=WMS&version=1.1.0&request=GetMap&layers=ecobio:Ocsol_1985_zoneC&styles=&bbox=359261.650494830576833347.726158318363414.662802991866838282.970603512&width=430&height=512&srs=EPSG:2154&format=application/openlayers'],[],[],[],[]
191, Zone atelier bassin du Rhône,Cartographie du patrimoine bâti des Vieux Rhône (1860-2006),2016-11-23T16:23:19,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],"['http://www.graie.org/osr', 'http://www.graie.org/osr/IMG/pdf/Atlas_synthese.pdf', 'http://www.graie.org/osr/IMG/pdf/Rapport_de_synthese.pdf']",[],"['http://www.graie.org/ ', 'http://www.graie.org/osr/IMG/pdf/Atlas_synthese.pdf ', 'http://www.graie.org/osr/IMG/pdf/Rapport_de_synthese.pdf ', 'http://mapmint.univ-st-etienne.fr/public/Marges ', 'https://observatoire-sediments-rhone.fr/ ', 'https://hal.science/OSR/hal-03749274v1 ', 'https://hal.science/OSR/hal-03748544v1 ', 'https://hal.science/OSR/hal-02485108v1 ', 'https://hal.science/hal-03290964/document ', 'https://hal.science/OSR/hal-04061255v1 ', 'http://www.graie.org/osr ', 'http://www.graie.org/osr/IMG/pdf/Atlas_synthese.pdf ', 'http://www.graie.org/osr/IMG/pdf/Rapport_de_synthese.pdf ', 'http://mapmint.univ-st-etienne.fr/public/Marges ', 'http://www.graie.org/osr/ ', 'http://www.graie.org/osr/IMG/pdf/Atlas_synthese.pdf ', 'http://www.graie.org/osr/IMG/pdf/Rapport_de_synthese.pdf ', 'http://mapmint.univ-st-etienne.fr/public/Marges']",[],[]
192, Zone atelier bassin du Rhône,OGIIS : Etude de faisabilité d'un outil de gestion intégrée de l'information scientifique (2013),2022-01-04T13:36:36Z,['Fanny Arnaud'],['UMR 5600 EVS - ENS de Lyon'],['http://ohm-vr.org/'],[],[],[],[]
193, Zone atelier Brest Iroise,"Trait de côte - Sillon de Keroullé, Hanvec (Finistère) 1952 - 2000",2019-03-06T10:47:35Z,['Pierre STEPHAN'],['UMR6554 LETG CNRS'],"['https://tel.archives-ouvertes.fr/file/index/docid/355047/filename/THESE_STEPHAN.pdf', 'https://geomorphologie.revues.org/9416#tocto1n2', 'https://www.univ-brest.fr/digitalAssets/40/40131_Stephan_et-al_Rapport_FRAC-GPN_2012.pdf', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wms', 'https://portail.indigeo.fr/geoserver/LETG-BREST/wfs']",[],[],[],[]
194, Zone atelier Armorique,"Image PLEIADE (Pleine-Fougères, 06/07/2017) - Zone Atelier Armorique ZAAr",2018-07-03T16:09:05,['Thomas Houet'],['LETG-RENNES UMR 6554 CNRS Université de Rennes 2'],['https://bretagne.kalideos.fr/drupal/fr/mapshup_page'],[],[],[],[]
195, Zone atelier bassin du Rhône,Monitoring station Isère Campus depuis 1994 (hydrologie et qualité de l'eau),2019-06-06T10:46:08,['Julien NEMERY'],['IGE Grenoble-INP'],"['http://www.ige-grenoble.fr/', 'http://www.lthe.fr/pageperso/belleudy/museo_vitrine4/index.html']",[],[],[],[]
