createDate,location,groupPublished,Org,format,uuid,"resourceTitleObject.default",recordOwner,"cl_status.default","cl_topic.default","cl_accessConstraints.default","cl_hierarchyLevel.default","keywordType-.default","keywordType-discipline.default","keywordType-location.default","keywordType-place.default","keywordType-stratum.default","keywordType-temporal.default","keywordType-theme.default","otherKeywords-theme.default","th_AGROVOC.default","th_anaee-france_locations.default","th_anaeeThes.default","th_Autre.default","th_Biodiversite_tree.default","th_Biodiversite.default","th_Continentscountriessearegionsoftheworld.default","th_envthes.default","th_ENVTHES.default","th_external-place-departements.default","th_external-place-ore.default","th_external-place-thematiques.default","th_external-theme-gemet.default","th_gemet_tree.default","th_gemet.default","th_GEMETinspirethemes-version1-0.default","th_geobretagne.default","th_Groupthemes.default","th_httpinspireeceuropaeuapplicationschema-applicationschema.default","th_httpinspireeceuropaeutheme-theme_tree.default","th_httpinspireeceuropaeutheme-theme.default","th_inspire-service-taxonomy.default","th_INSPIRE.default","th_INSPIREthemes.default","th_loterre-BHL.default","th_OPENDATA.default","th_otherKeywords-.default","th_otherKeywords-discipline.default","th_otherKeywords-place.default","th_otherKeywords-stratum.default","th_otherKeywords-temporal.default","th_otherKeywords-theme.default","th_prodige.default","th_RegionFR_2017_tree.default","th_RegionFR_2017.default","th_RegionFR.default","th_regions_tree.default","th_regions.default","th_reseaudeszonesateliers.default","th_rza.default"
"Jan 4, 2022 @ 14:33:38.000","{
  ""coordinates"": [
    5.1380485,
    44.731353999999996
  ],
  ""type"": ""Point""
}","OHM_VR, all, intranet","UMR 5600 EVS - ENS de Lyon","3D, 1D","d7f6e661-90b2-46ce-9e9d-fdf94314a082","Approche multi-agent et géovisualisation pour la simulation de recharges sédimentaires dans les sections court-circuitées du Rhône (2016)","Samuel Dunesme","-","Environnement, Eaux intérieures, Hydrographie","-","Jeu de données","-","-","-","Rhône, OHM VR, Cours du Rhône français","-","-","Géovisualisation, Modèle multi-agent, Simulation, Recharge sédimentaire, Hydrographie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",Hydrographie,Hydrographie,"-","-","-","-","-","-","-","Rhône, OHM VR","-","-","Géovisualisation, Modèle multi-agent, Simulation, Recharge sédimentaire","-","-","-","-","-","-","-","-"
"Jan 4, 2022 @ 14:29:39.000","{
  ""coordinates"": [
    4.783291999999999,
    45.390976499999994
  ],
  ""type"": ""Point""
}","OHM_VR, all, intranet","UMR 5600 EVS - ENS de Lyon",JPEG,"05a4d466-ec22-4b5f-8207-e7b5e029f62b","Evolution paysagère induite par un scénario de restauration du Vieux Rhône de Péage-de-Roussillon (2014)","Samuel Dunesme","-","Carte de référence de la couverture terrestre, Environnement","Droit de propriété intellectuelle / Droit patrimonial","Jeu de données","-","-","-","OHM VR, Rhône, OHM Littoral Méditerranéen, Péage-de-Roussillon","-","-","Simulation, 3D, Scénario, Restauration, Occupation des terres","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Occupation des terres","Occupation des terres","-","-","-","-","-","-","-","OHM VR, Rhône, OHM Littoral Méditerranéen","-","-","Simulation, 3D, Scénario, Restauration","-","-","-","-","-","-","-","-"
"Jan 4, 2022 @ 14:28:30.000","{
  ""coordinates"": [
    4.771551499999999,
    44.947706499999995
  ],
  ""type"": ""Point""
}","OHM_VR, all, intranet","UMR 5600 EVS - ENS de Lyon",SHP,"5bf28244-344f-43d5-82c2-c06a3786cace","Placettes de terrain pour caractériser la sédimentation et la végétation dans les casiers Girardon des Vieux Rhône (2014)","Samuel Dunesme","-","Environnement, Eaux intérieures, Hydrographie","Droit de propriété intellectuelle / Droit patrimonial","Jeu de données","-","-","-","OHM VR, Rhône, Pierre-Bénite, Péage-de-Roussillon, Montélimar, Donzère-Mondragon.","-","-","Casiers Girardon, Sédimentation, Végétation, Placettes de terrain, GPS, Référentiels de coordonnées","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Référentiels de coordonnées","Référentiels de coordonnées","-","-","-","-","-","-","-","OHM VR, Rhône","-","-","Casiers Girardon, Sédimentation, Végétation, Placettes de terrain, GPS","-","-","-","-","-","-","-","-"
"Jan 4, 2022 @ 14:27:22.000","{
  ""coordinates"": [
    4.771551499999999,
    44.947706499999995
  ],
  ""type"": ""Point""
}","OHM_VR, all, intranet","UMR 5600 EVS - ENS de Lyon",SHP,"2d390dcf-85fc-40cd-be0a-125b7a7322b8","Emprise actuelle des casiers Girardon des Vieux Rhône (2010-2015)","Samuel Dunesme","-","Constructions et ouvrages, Carte de référence de la couverture terrestre","Droit de propriété intellectuelle / Droit patrimonial","Jeu de données","-","-","-","OHM VR, Rhône, Pierre-Bénite, Péage-de-Roussillon, Montélimar, Donzère-Mondragon.","-","-","Casiers Girardon, Cartographie, Occupation des terres","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Occupation des terres","Occupation des terres","-","-","-","-","-","-","-","OHM VR, Rhône","-","-","Casiers Girardon, Cartographie","-","-","-","-","-","-","-","-"
"Jan 4, 2022 @ 14:19:45.000","{
  ""coordinates"": [
    4.62,
    43.760000000000005
  ],
  ""type"": ""Point""
}","OHM_VR, all, intranet","UMR 5600 EVS - ENS de Lyon","SHP, TIF, CAS","691507c7-7e23-4b33-a15a-e8bfed466c07","MNT des casiers Girardon du Rhône à Arles et maillage de calcul hydraulique Bluekenue (2014)","Samuel Dunesme","-","Altimétrie, Environnement, Eaux intérieures, Hydrographie","-","Jeu de données","-","-","-","Rhône, Arles","-","-","MNT, Modélisation, OHM VR, Hydrodynamique, Hydrographie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",Hydrographie,Hydrographie,"-","-","-","-","-","-","-","Rhône","-","-","MNT, Modélisation, OHM VR, Hydrodynamique","-","-","-","-","-","-","-","-"
"Jan 4, 2022 @ 13:41:42.000","{
  ""coordinates"": [
    -4.16401,
    48.2339765
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRA - Agrocampus Ouest","-","83e18c0a-98d3-4673-936c-3be977b508f8","RPG anonymisé du Finistère et rotations culturales de 2006 à 2014","Amandine Henon","Finalisé","Limites politiques et administratives","Droit de propriété intellectuelle / Droit patrimonial","Jeu de données","-","-","-","-","-","-","occupation du sol sol sous-sol : mode d’occupation du sol, Occupation des terres, Occupation du Sol","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","occupation du sol sol sous-sol : mode d’occupation du sol","-","-","-","Occupation des terres","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 22, 2021 @ 16:37:20.000","{
  ""coordinates"": [
    -2.8367269999999998,
    48.015116
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRA - Agrocampus Ouest","ESRI shapefile","82abb5f4-0ddc-4406-90ec-57b3fb36daf2","Délimitation du bassin versant de Kervidy (ORE AgrHyS) - MNT Mégalis 20 m.","Amandine Henon","Finalisé",Agriculture,"Autres restrictions","Jeu de données","données ouvertes","-","-","Morbihan, Naizin","-","-","Hydrographie, Installations de suivi environnemental, Hydrologie","-","-","-","-","-","-","-","-","-","-",Morbihan,Naizin,Hydrologie,"-","-","-","-","-","-","-","-","Hydrographie, Installations de suivi environnemental","-","-","-","-","-","données ouvertes","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 22, 2021 @ 14:58:30.000","{
  ""coordinates"": [
    -2.8290800000000003,
    48.001268499999995
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRA - Agrocampus Ouest","ESRI shapefile","838881c4-9298-491a-aca5-0dfa059dfa03","Délimitation du bassin versant de Naizin (ORE AgrHyS) - MNT Mégalis 20 m.","Amandine Henon","Finalisé",Agriculture,"Autres restrictions","Jeu de données","données ouvertes","-","-","Morbihan, Naizin","-","-","Hydrographie, Installations de suivi environnemental, Hydrologie","-","-","-","-","-","-","-","-","-","-",Morbihan,Naizin,Hydrologie,"-","-","-","-","-","-","-","-","Hydrographie, Installations de suivi environnemental","-","-","-","-","-","données ouvertes","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 14, 2021 @ 09:47:05.000","{
  ""coordinates"": [
    5.1380485,
    44.731353999999996
  ],
  ""type"": ""Point""
}","OHM_VR, all, intranet","UMR 5600 EVS - ENS de Lyon",CSV,"8d5c07ec-1720-4c23-aa3b-ef2982c6924d","Caractérisation de la nature des particules transportées lors des étiages du Rhône (2019)","Samuel Dunesme","-","Eaux intérieures, Hydrographie","-","Jeu de données","-","-","-","Rhône, OHM VR, OSR, Rhône et affluents","-","-","Radionucléides, Radioactivité, Stérols, Mercure, ETM, Etiage, MES, Installations de suivi environnemental","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Installations de suivi environnemental","Installations de suivi environnemental","-","-","-","-","-","-","-","Rhône, OHM VR, OSR","-","-","Radionucléides, Radioactivité, Stérols, Mercure, ETM, Etiage, MES","-","-","-","-","-","-","-","-"
"Dec 10, 2021 @ 16:37:26.000","-",all,"-","-","552cf98b-545a-4988-93c7-8805bb2101fd","-","Amandine Henon","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 10, 2021 @ 16:37:20.000","-",all,"-","-","aafb24ba-0492-45e6-9291-be36d25bf328","-","Amandine Henon","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 10, 2021 @ 16:37:15.000","-",all,"-","-","1e44a65b-477c-445d-ab01-b02628cb70b7","-","Amandine Henon","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 10, 2021 @ 16:37:09.000","-",all,"-","-","faf5b8cc-c399-43dc-ad66-df56ded6dbf9","-","Amandine Henon","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 10, 2021 @ 14:41:05.000","-",all,"-","-","0aebb489-44d8-4164-8d03-6fa32615cb48","-","Amandine Henon","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 10, 2021 @ 14:40:58.000","-",all,"-","-","83bf7877-e3fe-4dc9-8e32-61e26f9268ee","-","Amandine Henon","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2021 @ 14:53:44.000","{
  ""coordinates"": [
    0.0830820000000001,
    45.8201095
  ],
  ""type"": ""Point""
}",all,"UMR6554 LETG CNRS","ESRI Shapefile","d5651848-318b-4545-a6fb-1e618032b8e7","Chaire maritime - Façades maritimes métropolitaines","Amandine Henon","Finalisé","Sciences de la terre, géosciences","Autres restrictions","Jeu de données","-","-","-","France, Bretagne, Pays de la Loire, Hauts-de-France, Corse, Normandie, Nouvelle Aquitaine, Occitanie, Provence-Alpes-Côte d'Azur","-","-","limite administrative, géographie, Caractéristiques géographiques océanographiques","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","limite administrative, géographie","-","-","-","-","-","Caractéristiques géographiques océanographiques","-","-","-","-","-","-","-","-","-","-","-","-","régions, régions^Bretagne, régions^Corse, régions^Hauts-de-France, régions^Normandie, régions^Nouvelle Aquitaine, régions^Occitanie, régions^Pays de la Loire, régions^Provence-Alpes-Côte d'Azur","Bretagne, Pays de la Loire, Hauts-de-France, Corse, Normandie, Nouvelle Aquitaine, Occitanie, Provence-Alpes-Côte d'Azur","-","EEA32 (2006-2013), EEA32 (2006-2013)^France, EEA32 (from 2020), EEA32 (from 2020)^France, EEA33 (2013-2020), EEA33 (2013-2020)^France, EEA38 (from 2020), EEA38 (from 2020)^France, EEA39, EEA39^France, EU12, EU12^France, EU15, EU15^France, EU25, EU25^France, EU27 (2007-2013), EU27 (2007-2013)^France, EU27 (from 2020), EU27 (from 2020)^France, EU28 (2013-2020), EU28 (2013-2020)^France, Europe, Europe^France",France,"-","-"
"Dec 1, 2021 @ 13:22:53.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes-Angers","-","ac4f6c0d-15b1-47c6-bd9c-53b85077b3f2","Carbone organique - teneur médiane par commune dans les sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","Environnement, Agriculture","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, vecteur, carbone, soc","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, vecteur, carbone, soc","-","-","-","-","-","-","-","-"
"Dec 1, 2021 @ 13:22:19.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes-Angers","-","659bf87a-1df0-42b7-ad02-8719d1924547","Carbone organique - proportion dans les sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","-","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, raster, carbone organique, soc","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, raster, carbone organique, soc","-","-","-","-","-","-","-","-"
"Dec 1, 2021 @ 13:18:09.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes-Angers","-","0b8851b3-5f29-49cc-a007-39726c1dee39","CEC - valeur médiane par commune dans les sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","-","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, vecteur, CEC","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, vecteur, CEC","-","-","-","-","-","-","-","-"
"Dec 1, 2021 @ 13:02:20.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes-Angers","-","6ca6b852-2a9c-4397-93e1-338d05c77ca2","Eléments grossiers - proportion dans les sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","Environnement, Agriculture","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, raster, éléments grossiers, element grossier","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, raster, éléments grossiers, element grossier","-","-","-","-","-","-","-","-"
"Dec 1, 2021 @ 12:34:31.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes-Angers","-","b405effe-db38-4b09-b27e-35586eb54f22","pH eau - valeur médiane par commune dans les sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","Environnement, Agriculture","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, vecteur, pH","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, vecteur, pH","-","-","-","-","-","-","-","-"
"Dec 1, 2021 @ 12:13:54.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes-Angers","-","c4b62be7-da92-4e40-bf2c-0e27ab9f3c39","Eléments grossiers - proportion médiane par commune dans les sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","Environnement, Agriculture","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, vecteur, element grossier","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, vecteur, element grossier","-","-","-","-","-","-","-","-"
"Dec 1, 2021 @ 12:05:36.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes-Angers","-","86153602-372e-49b9-b22f-a90dd9f2fe36","Sable - proportion médiane par commune dans les sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","Environnement, Agriculture","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, vecteur, sable","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, vecteur, sable","-","-","-","-","-","-","-","-"
"Dec 1, 2021 @ 12:00:10.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes-Angers","-","bd83f813-0fe8-4f34-bfdb-b317fac19fa9","Argile - proportion médiane par commune dans les sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","Environnement, Agriculture","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, argile, vecteur","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, argile, vecteur","-","-","-","-","-","-","-","-"
"Dec 1, 2021 @ 11:54:01.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes-Angers","-","f1dfb915-f6af-4ed5-9868-6d078e79c7cf","Limon - proportion médiane par commune dans les sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","Environnement, Agriculture","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, vecteur, limon","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, vecteur, limon","-","-","-","-","-","-","-","-"
"Dec 1, 2021 @ 10:18:14.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes-Angers","-","889729be-e44f-4895-be37-f193a95388d3","Sable - proportion dans les sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","Environnement, Agriculture","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, raster, sable","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, raster, sable","-","-","-","-","-","-","-","-"
"Dec 1, 2021 @ 10:17:47.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes-Angers","-","2aca277e-0403-4a3d-84fb-27bf09fff945","Limon - proportion dans les sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","Environnement, Agriculture","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, raster, limon","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, raster, limon","-","-","-","-","-","-","-","-"
"Dec 1, 2021 @ 10:06:40.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes-Angers","-","ef33bd8b-0bad-4c8b-9cb1-c95625c15436","Argile - proportion dans les sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","Environnement, Agriculture","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, raster, argile","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, type de sol, raster, argile","-","-","-","-","-","-","-","-"
"Dec 1, 2021 @ 08:44:25.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes Angers","-","45e9cb55-d144-46e2-a898-61682680729b","pH eau des sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","Environnement, Agriculture","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, pH, type de sol, raster","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, pH, type de sol, raster","-","-","-","-","-","-","-","-"
"Nov 30, 2021 @ 17:54:59.000","{
  ""coordinates"": [
    -3.21411,
    48.021969999999996
  ],
  ""type"": ""Point""
}",all,"UMR 1069 SAS INRAE - L'Institut Agro Rennes-Angers","-","6c071852-580a-47bb-85bb-5a886cde3971","Capacité d'échange cationique (CEC) des sols en Bretagne à 6 profondeurs","Amandine Henon","Finalisé","Environnement, Agriculture","Autres restrictions","Jeu de données","données ouvertes, Sols","-","-","Bretagne, Bretagne, Côtes-d'Armor, Finistère, Ille-Et-Vilaine, Morbihan, Pédologie, Bretagne","-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, CEC, type de sol, raster, capacité d'échange cationique","-","-","-","-","-","-","-","-","-","-","-","-","Pédologie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","données ouvertes","-",Bretagne,"-","-","Sols de Bretagne, IGCS, pédologie, sol, propriété pédologique, CEC, type de sol, raster, capacité d'échange cationique","-","-","-","-","-","-","-","-"
"Nov 29, 2021 @ 17:13:29.000","{
  ""coordinates"": [
    2.2094085,
    46.2112725
  ],
  ""type"": ""Point""
}",all,"UMR6554 LETG CNRS","ESRI Shapefile","831ff62c-e913-4f2b-b92b-8e95bdd602d4","Chaire maritime - Ports de pêche","Amandine Henon","Mise à jour continue","Sciences de la terre, géosciences","Autres restrictions","Jeu de données","-","-","-","France, Hauts-de-France, Bretagne, Nouvelle Aquitaine, Occitanie, Provence-Alpes-Côte d'Azur, Normandie, Corse, Pays de la Loire","-","-","couverture spatiale (SIG), Caractéristiques géographiques océanographiques","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","couverture spatiale (SIG)","-","-","-","-","-","Caractéristiques géographiques océanographiques","-","-","-","-","-","-","-","-","-","-","-","-","régions, régions^Bretagne, régions^Corse, régions^Hauts-de-France, régions^Normandie, régions^Nouvelle Aquitaine, régions^Occitanie, régions^Pays de la Loire, régions^Provence-Alpes-Côte d'Azur","Hauts-de-France, Bretagne, Nouvelle Aquitaine, Occitanie, Provence-Alpes-Côte d'Azur, Normandie, Corse, Pays de la Loire","-","EEA32 (2006-2013), EEA32 (2006-2013)^France, EEA32 (from 2020), EEA32 (from 2020)^France, EEA33 (2013-2020), EEA33 (2013-2020)^France, EEA38 (from 2020), EEA38 (from 2020)^France, EEA39, EEA39^France, EU12, EU12^France, EU15, EU15^France, EU25, EU25^France, EU27 (2007-2013), EU27 (2007-2013)^France, EU27 (from 2020), EU27 (from 2020)^France, EU28 (2013-2020), EU28 (2013-2020)^France, Europe, Europe^France",France,"-","-"
