createDate,location,"cl_topic.langfre","keywordType-.langfre","keywordType-discipline.langfre","keywordType-place.langfre","keywordType-stratum.langfre","keywordType-temporal.langfre","keywordType-theme.langfre","tag.langfre","th_AGROVOC.langfre","th_anaee-france_locations.langfre","th_anaeeThes.langfre","th_Autre.langfre","th_Biodiversite.langfre","th_ENVTHES.langfre","th_external-place-departements.langfre","th_external-place-ore.langfre","th_external-theme-gemet.langfre","th_gemet-en-fr-de-nl-it-es.langfre","th_gemet-fr-en-pt-es_4-1-4.langfre","th_gemet.langfre","th_GEMETinspirethemes-version1-0.langfre","th_geobretagne.langfre","th_Groupthemes.langfre","th_httpinspireeceuropaeuapplicationschema-applicationschema.langfre","th_httpinspireeceuropaeutheme-theme.langfre","th_inspire-service-taxonomy.langfre","th_INSPIRE.langfre","th_INSPIREMetadataRegulation12052008EC.langfre","th_INSPIREthemes.langfre","th_loterre-BHL.langfre","th_OPENDATA.langfre","th_otherKeywords-.langfre","th_otherKeywords-discipline.langfre","th_otherKeywords-place.langfre","th_otherKeywords-stratum.langfre","th_otherKeywords-temporal.langfre","th_otherKeywords-theme.langfre","th_prodige.langfre","th_RegionFR_2017.langfre","th_RegionFR.langfre","th_regions.langfre","th_reseaudeszonesateliers.langfre","th_rza.langfre","th_variableAnaEE.langfre","th_VariableAnaEE.langfre"
"Dec 6, 2022 @ 14:45:16.870","{
  ""coordinates"": [
    5.581664999999999,
    43.434425000000005
  ],
  ""type"": ""Point""
}",Localisation,"-","-","Gardanne, Bouc-Bel-Air, OHM Bassin Minier de Provence","-","-","Pollution atmosphérique, Boues rouges, Particules, Observatoire","Gardanne, Bouc-Bel-Air, OHM Bassin Minier de Provence, Pollution atmosphérique, Boues rouges, Particules, Observatoire","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Gardanne, Bouc-Bel-Air, OHM Bassin Minier de Provence","-","-","Pollution atmosphérique, Boues rouges, Particules, Observatoire","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:45:15.432","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:45:13.813","{
  ""coordinates"": [
    5.574999999999999,
    43.47
  ],
  ""type"": ""Point""
}","Sciences de la terre, géosciences","-","-","Bassin minier de Provence","-","-","géologie minière, OHM Bassin Minier de Provence","Bassin minier de Provence, géologie minière, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","géologie minière, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:45:11.621","{
  ""coordinates"": [
    5.574999999999999,
    43.45
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","photographie aérienne, Ortho-imagerie, OHM Bassin Minier de Provence","Bassin minier de Provence, photographie aérienne, Ortho-imagerie, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","photographie aérienne","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:45:05.993","{
  ""coordinates"": [
    5.574999999999999,
    43.47
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","Carte topographique, OHM Bassin Minier de Provence","Bassin minier de Provence, Carte topographique, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","Carte topographique, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:45:05.622","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:58.678","{
  ""coordinates"": [
    5.585,
    43.47
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","Carte topographique, OHM Bassin Minier de Provence, géographie","Bassin minier de Provence, Carte topographique, OHM Bassin Minier de Provence, géographie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","Carte topographique, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:56.723","{
  ""coordinates"": [
    5.535,
    43.45
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","Ortho-imagerie, OHM Bassin Minier de Provence","Bassin minier de Provence, Ortho-imagerie, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:39.787","{
  ""coordinates"": [
    5.574999999999999,
    43.47
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","Carte topographique, OHM Bassin Minier de Provence","Bassin minier de Provence, Carte topographique, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","Carte topographique, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:35.156","{
  ""coordinates"": [
    5.574999999999999,
    43.47
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","Carte topographique, OHM Bassin Minier de Provence, géographie","Bassin minier de Provence, Carte topographique, OHM Bassin Minier de Provence, géographie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","Carte topographique, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:34.754","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:31.339","{
  ""coordinates"": [
    5.574999999999999,
    43.47
  ],
  ""type"": ""Point""
}","Sciences de la terre, géosciences","-","-","Bassin minier de Provence","-","-","géologie minière, OHM Bassin Minier de Provence","Bassin minier de Provence, géologie minière, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","géologie minière, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:28.534","{
  ""coordinates"": [
    5.535,
    43.45
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","Ortho-imagerie, OHM Bassin Minier de Provence","Bassin minier de Provence, Ortho-imagerie, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:25.129","{
  ""coordinates"": [
    5.574999999999999,
    43.47
  ],
  ""type"": ""Point""
}","Sciences de la terre, géosciences","-","-","Bassin minier de Provence","-","-","géologie minière, OHM Bassin Minier de Provence","Bassin minier de Provence, géologie minière, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","géologie minière, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:24.167","{
  ""coordinates"": [
    5.574999999999999,
    43.47
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","Sols, OHM Bassin Minier de Provence","Bassin minier de Provence, Sols, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:21.839","{
  ""coordinates"": [
    5.574999999999999,
    43.47
  ],
  ""type"": ""Point""
}",Agriculture,"-","-","Bassin minier de Provence","-","-","capacité du sol, Sols, OHM Bassin Minier de Provence","Bassin minier de Provence, capacité du sol, Sols, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","capacité du sol","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:19.123","{
  ""coordinates"": [
    5.574999999999999,
    43.47
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","géologie minière, OHM Bassin Minier de Provence","Bassin minier de Provence, géologie minière, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","géologie minière, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:15.797","{
  ""coordinates"": [
    5.574999999999999,
    43.47
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","Carte topographique, OHM Bassin Minier de Provence, géographie","Bassin minier de Provence, Carte topographique, OHM Bassin Minier de Provence, géographie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","Carte topographique, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:15.260","{
  ""coordinates"": [
    5.484999999999999,
    43.455
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","photographie aérienne, Ortho-imagerie, OHM Bassin Minier de Provence","Bassin minier de Provence, photographie aérienne, Ortho-imagerie, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","photographie aérienne","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:12.354","{
  ""coordinates"": [
    5.535,
    43.45
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","Ortho-imagerie, OHM Bassin Minier de Provence","Bassin minier de Provence, Ortho-imagerie, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:44:08.428","{
  ""coordinates"": [
    5.574999999999999,
    43.45
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","relief, Altitude, OHM Bassin Minier de Provence","Bassin minier de Provence, relief, Altitude, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-",relief,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:43:59.399","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:43:54.855","{
  ""coordinates"": [
    5.574999999999999,
    43.47
  ],
  ""type"": ""Point""
}","Sciences de la terre, géosciences","-","-","Bassin minier de Provence","-","-","géologie minière, OHM Bassin Minier de Provence","Bassin minier de Provence, géologie minière, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","géologie minière, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:43:54.055","{
  ""coordinates"": [
    5.574999999999999,
    43.45
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence, GARDANNE","-","-","relief, Altitude, OHM Bassin Minier de Provence","Bassin minier de Provence, GARDANNE, relief, Altitude, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-",relief,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:43:53.103","{
  ""coordinates"": [
    5.574999999999999,
    43.45
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","photographie aérienne, Ortho-imagerie, OHM Bassin Minier de Provence","Bassin minier de Provence, photographie aérienne, Ortho-imagerie, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","photographie aérienne","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:43:51.721","{
  ""coordinates"": [
    0,
    0
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dec 6, 2022 @ 14:43:50.654","{
  ""coordinates"": [
    5.535,
    43.45
  ],
  ""type"": ""Point""
}","Carte de référence de la couverture terrestre","-","-","Bassin minier de Provence","-","-","Ortho-imagerie, OHM Bassin Minier de Provence","Bassin minier de Provence, Ortho-imagerie, OHM Bassin Minier de Provence","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Bassin minier de Provence","-","-","-","-","-","-","-","-","-","-","-"
"Nov 30, 2022 @ 18:52:52.000","{
  ""coordinates"": [
    -2.2535015,
    48.254416000000006
  ],
  ""type"": ""Point""
}",Environnement,"Données ouvertes","-","Série temporelle sur la Bretagne","-","-","référentiels : imagerie, Ortho-imagerie","Données ouvertes, référentiels : imagerie, Ortho-imagerie, Série temporelle sur la Bretagne","-","-","-","-","-","-","-","-","-","-","-","-","-","référentiels : imagerie","-","-","Ortho-imagerie","-","-","-","-","-","-","Données ouvertes","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nov 30, 2022 @ 10:33:23.000","{
  ""coordinates"": [
    -1.390887,
    46.363145
  ],
  ""type"": ""Point""
}","Sciences de la terre, géosciences","-","-","France, Pays de la Loire","-","-","recherche, Ortho-imagerie","France, recherche, Ortho-imagerie, Pays de la Loire","-","-","-","-","-","-","-","-","-","-","-",recherche,"-","-","-","-","Ortho-imagerie","-","-","-","-","-","-","-","-","-","-","-","-","-","Pays de la Loire","-","-","-","-","-","-"
"Nov 30, 2022 @ 10:29:47.000","{
  ""coordinates"": [
    -1.390887,
    46.363145
  ],
  ""type"": ""Point""
}","Sciences de la terre, géosciences","-","-","France, Pays de la Loire","-","-","recherche, Ortho-imagerie","France, recherche, Ortho-imagerie, Pays de la Loire","-","-","-","-","-","-","-","-","-","-","-",recherche,"-","-","-","-","Ortho-imagerie","-","-","-","-","-","-","-","-","-","-","-","-","-","Pays de la Loire","-","-","-","-","-","-"
"Nov 30, 2022 @ 10:24:45.000","{
  ""coordinates"": [
    -1.3905500000000002,
    46.363
  ],
  ""type"": ""Point""
}","Sciences de la terre, géosciences","-","-","France, Pays de la Loire","-","-","recherche, Ortho-imagerie","France, recherche, Ortho-imagerie, Pays de la Loire","-","-","-","-","-","-","-","-","-","-","-",recherche,"-","-","-","-","Ortho-imagerie","-","-","-","-","-","-","-","-","-","-","-","-","-","Pays de la Loire","-","-","-","-","-","-"
"Nov 28, 2022 @ 00:00:00.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nov 25, 2022 @ 14:08:49.000","{
  ""coordinates"": [
    -1.3635575,
    48.3579845
  ],
  ""type"": ""Point""
}",Environnement,"Données ouvertes","-","Série temporelle sur la Bretagne","-","-","référentiels : imagerie, Ortho-imagerie","Données ouvertes, référentiels : imagerie, Ortho-imagerie, Série temporelle sur la Bretagne","-","-","-","-","-","-","-","-","-","-","-","-","-","référentiels : imagerie","-","-","Ortho-imagerie","-","-","-","-","-","-","Données ouvertes","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nov 17, 2022 @ 00:00:00.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nov 15, 2022 @ 00:00:00.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nov 8, 2022 @ 10:21:45.000","{
  ""coordinates"": [
    -4.4289000000000005,
    48.34695
  ],
  ""type"": ""Point""
}",Environnement,"-","-","France, Bretagne","-","-","histoire de l'écologie, Répartition des espèces, Habitats et biotopes","France, histoire de l'écologie, Répartition des espèces, Habitats et biotopes, Bretagne","-","-","-","-","-","-","-","-","-","-","-","histoire de l'écologie","-","-","-","-","Répartition des espèces, Habitats et biotopes","-","-","-","-","-","-","-","-","-","-","-","-","-",Bretagne,"-",France,"-","-","-","-"
"Nov 2, 2022 @ 00:00:00.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 17, 2022 @ 12:54:03.000","{
  ""coordinates"": [
    -1.0407055,
    45.981903
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","agronomy, agriculture, agronomie, assolement, rotation culturale, ferme expérimentale INRAe, marais atlantiques, France, Nouvelle Aquitaine, Charente-Maritime (17), marais de Rochefort sur Mer, côte atlantique, marais arrière littoraux_","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 12, 2022 @ 00:00:00.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 4, 2022 @ 00:00:00.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 2, 2022 @ 16:40:45.000","{
  ""coordinates"": [
    -4.4561,
    48.635850000000005
  ],
  ""type"": ""Point""
}","Altimétrie","-",hydrodynamisme,"Guissény, France, Bretagne, France, plage du Vougot (Guissény), Bretagne","-","-","donnée environnementale, hydrosphère, littoral, Caractéristiques géographiques océanographiques, Altitude, Installations de suivi environnemental","hydrodynamisme, Guissény, France, donnée environnementale, hydrosphère, littoral, Caractéristiques géographiques océanographiques, Altitude, Installations de suivi environnemental, Bretagne, France, plage du Vougot (Guissény), Bretagne","-","-","-","-","-","-","-","-","-","-","-","donnée environnementale, hydrosphère, littoral","-","-","-","-","Caractéristiques géographiques océanographiques, Altitude, Installations de suivi environnemental","-","-","-","-","-","-","-",hydrodynamisme,"Guissény","-","-","-","-",Bretagne,"-",France,"-","-","-","-"
"Oct 1, 2022 @ 21:27:53.000","{
  ""coordinates"": [
    -4.5694,
    48.6387
  ],
  ""type"": ""Point""
}","Altimétrie, Environnement","-","-","Île Vierge, France, BRETAGNE","-","-","côte, environnement, littoral, géomorphologie, données géoréférencées, Altitude, Installations de suivi environnemental","Île Vierge, côte, environnement, littoral, géomorphologie, données géoréférencées, Altitude, Installations de suivi environnemental, France, BRETAGNE","-","-","-","-","-","-","-","-","-","données géoréférencées","-","côte, environnement, littoral, géomorphologie","-","-","-","-","Altitude, Installations de suivi environnemental","-","-","-","-","-","-","-","-","Île Vierge","-","-","-","-","-",BRETAGNE,France,"-","-","-","-"
"Oct 1, 2022 @ 10:04:19.000","{
  ""coordinates"": [
    -4.3655,
    47.8281
  ],
  ""type"": ""Point""
}","Altimétrie, Environnement","-","-","Penmarc'h, France, BRETAGNE","-","-","environnement, littoral, géomorphologie, côte, données géoréférencées, Altitude, Installations de suivi environnemental","Penmarc'h, environnement, littoral, géomorphologie, côte, données géoréférencées, Altitude, Installations de suivi environnemental, France, BRETAGNE","-","-","-","-","-","-","-","-","-","données géoréférencées","-","environnement, littoral, géomorphologie, côte","-","-","-","-","Altitude, Installations de suivi environnemental","-","-","-","-","-","-","-","-","Penmarc'h","-","-","-","-","-",BRETAGNE,France,"-","-","-","-"
"Sep 20, 2022 @ 16:45:51.420","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 20, 2022 @ 16:45:14.499","{
  ""coordinates"": [
    -4.311574,
    48.2866845
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 20, 2022 @ 16:44:28.259","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 20, 2022 @ 16:43:34.872","-","-","-","-","-","-","-","recherche_ publication[INSPIRE themes]:Ortho-imagerie_ place[Continents, countries, sea regions of the world]:France_ place[Nouvelles Régions de France]:Bretagne_ topic:geoscientificInformation","recherche_ publication[INSPIRE themes]:Ortho-imagerie_ place[Continents, countries, sea regions of the world]:France_ place[Nouvelles Régions de France]:Bretagne_ topic:geoscientificInformation","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 20, 2022 @ 16:42:53.813","-","Sciences de la terre, géosciences","-","-","France, Bretagne","-","-",recherche,"France, recherche, Ortho-imagerie, Bretagne","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Ortho-imagerie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 20, 2022 @ 16:41:59.584","-","Sciences de la terre, géosciences","-","-","France, Bretagne","-","-",recherche,"France, recherche, Ortho-imagerie, Bretagne","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Ortho-imagerie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 20, 2022 @ 16:40:55.882","-","Sciences de la terre, géosciences","-","-","France, Bretagne","-","-",recherche,"France, recherche, Ortho-imagerie, Bretagne","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Ortho-imagerie","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 20, 2022 @ 16:02:12.144","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 20, 2022 @ 15:57:11.177","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 20, 2022 @ 15:43:17.811","-","-","-","-","-","-","-","-","species abundance, species presence, species list, species composition, species richness, LTER site, long term monitoring, vascular plants, biodiversity, biological monitoring, Environmental monitoring facilities, Habitats and biotopes, Species distribution","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 20, 2022 @ 14:45:09.794","-","-","-","-","-","-","-","-","species abundance, species presence, species list, species composition, species richness, LTER site, long term monitoring, vascular plants, biodiversity, biological monitoring, Environmental monitoring facilities, Habitats and biotopes, Species distribution","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 15, 2022 @ 15:20:53.000","{
  ""coordinates"": [
    -3.4306039999999998,
    47.7538905
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 15, 2022 @ 15:20:30.000","{
  ""coordinates"": [
    -3.4306039999999998,
    47.7538905
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 15, 2022 @ 15:20:04.000","{
  ""coordinates"": [
    -3.4306039999999998,
    47.7538905
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 15, 2022 @ 15:18:46.000","{
  ""coordinates"": [
    -3.4306039999999998,
    47.7538905
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 15, 2022 @ 15:18:22.000","{
  ""coordinates"": [
    -3.4306039999999998,
    47.7538905
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 15, 2022 @ 15:17:27.000","{
  ""coordinates"": [
    -3.4306039999999998,
    47.7538905
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 15, 2022 @ 14:55:20.000","{
  ""coordinates"": [
    0.35926749999999996,
    46.571084
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 15, 2022 @ 14:54:57.000","{
  ""coordinates"": [
    0.35926749999999996,
    46.571084
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sep 15, 2022 @ 14:54:31.000","{
  ""coordinates"": [
    0.35926749999999996,
    46.571084
  ],
  ""type"": ""Point""
}","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
